,BASELINE_CNN/CAL/ARI
BreastTissue,0.268213715336592
Ecoli,0.5010894136524796
Glass,0.24529364187700725
Haberman,0.0273906460011996
Iris,0.5681159420289855
Parkinsons,0.05135036104397965
Transfusion,0.013119901538643643
Vehicle,0.08776256054027652
VertebralColumn,0.13607040152695
WineQualityRed,0.01569950503278266
